"","MONTH","murders","Year","dummy"
"1",1,22,2016,"1"
"2",10,22,2016,"1"
"3",11,24,2016,"1"
"4",12,23,2016,"1"
"5",2,18,2016,"1"
"6",3,28,2016,"1"
"7",4,28,2016,"1"
"8",5,32,2016,"1"
"9",6,34,2016,"1"
"10",7,34,2016,"1"
"11",8,35,2016,"1"
"12",9,35,2016,"1"
"13",1,24,2017,"1"
"14",10,29,2017,"1"
"15",11,20,2017,"1"
"16",12,28,2017,"1"
"17",2,22,2017,"1"
"18",3,20,2017,"1"
"19",4,21,2017,"1"
"20",5,26,2017,"1"
"21",6,23,2017,"1"
"22",7,38,2017,"1"
"23",8,17,2017,"1"
"24",9,24,2017,"1"
"25",1,22,2018,"1"
"26",10,18,2018,"1"
"27",11,16,2018,"1"
"28",12,20,2018,"1"
"29",2,16,2018,"1"
"30",3,22,2018,"1"
"31",4,26,2018,"1"
"32",5,35,2018,"1"
"33",6,35,2018,"1"
"34",7,28,2018,"1"
"35",8,29,2018,"1"
"36",9,28,2018,"1"
"37",1,29,2019,"1"
"38",10,36,2019,"1"
"39",11,23,2019,"1"
"40",12,14,2019,"1"
"41",2,25,2019,"1"
"42",3,21,2019,"1"
"43",4,23,2019,"1"
"44",5,19,2019,"1"
"45",6,30,2019,"1"
"46",7,34,2019,"1"
"47",8,36,2019,"1"
"48",9,29,2019,"1"
"49",1,27,NA,"1"
"50",10,41,NA,"1"
"51",11,29,NA,"1"
"52",12,32,NA,"1"
"53",2,22,NA,"1"
"54",3,25,NA,"1"
"55",4,38,NA,"1"
"56",5,37,NA,"1"
"57",6,43,NA,"1"
"58",7,57,NA,"1"
"59",8,58,NA,"1"
"60",9,59,NA,"1"
"61",1,33,2021,"1"
"62",10,43,2021,"1"
"63",11,25,2021,"1"
"64",12,46,2021,"1"
"65",2,29,2021,"1"
"66",3,38,2021,"1"
"67",4,50,2021,"1"
"68",5,41,2021,"1"
"69",6,38,2021,"1"
"70",7,35,2021,"1"
"71",8,59,2021,"1"
"72",9,51,2021,"1"
"73",1,31,2022,"1"
"74",10,30,2022,"1"
"75",11,31,2022,"1"
"76",12,36,2022,"1"
"77",2,36,2022,"1"
"78",3,35,2022,"1"
"79",4,34,2022,"1"
"80",5,48,2022,"1"
"81",6,32,2022,"1"
"82",7,51,2022,"1"
"83",8,31,2022,"1"
"84",9,43,2022,"1"
"85",1,36,2023,"1"
"86",10,24,2023,"1"
"87",11,30,2023,"1"
"88",12,25,2023,"1"
"89",2,27,2023,"1"
"90",3,36,2023,"1"
"91",4,33,2023,"1"
"92",5,38,2023,"1"
"93",6,38,2023,"1"
"94",7,38,2023,"1"
"95",8,32,2023,"1"
"96",9,34,2023,"1"
